NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Hadley town,Massachusetts,5250,5250,5246,5257,5270
Hatfield town,Massachusetts,3279,3279,3275,3276,3275
Huntington town,Massachusetts,2180,2180,2179,2175,2172
Middlefield town,Massachusetts,521,521,521,525,527
Northampton city,Massachusetts,28549,28549,28624,28614,28592
Northampton city,Massachusetts,28549,28549,28624,28614,28592
Pelham town,Massachusetts,1321,1321,1320,1323,1321
Plainfield town,Massachusetts,648,648,648,648,646
Southampton town,Massachusetts,5792,5792,5801,5885,5932
South Hadley town,Massachusetts,17514,17514,17710,17780,17773
Ware town,Massachusetts,9872,9872,9868,9878,9859
Westhampton town,Massachusetts,1607,1607,1606,1604,1603
Williamsburg town,Massachusetts,2482,2482,2481,2480,2476
Worthington town,Massachusetts,1156,1156,1157,1161,1164
Middlesex County,Massachusetts,1503085,1503077,1506714,1522050,1537215
Cambridge city,Massachusetts,105162,105162,104944,105792,106471
Everett city,Massachusetts,41667,41667,41738,42118,42567
Lowell city,Massachusetts,106519,106519,106709,107571,108522
Malden city,Massachusetts,59450,59450,59561,59940,60374
Marlborough city,Massachusetts,38499,38499,38559,38874,39204
Medford city,Massachusetts,56173,56253,56331,56660,57033
Melrose city,Massachusetts,26983,26983,27030,27234,27435
Newton city,Massachusetts,85146,85146,85355,85596,86307
Somerville city,Massachusetts,75754,75674,75776,76265,77104
Waltham city,Massachusetts,60632,60632,60863,61418,61918
Watertown Town city,Massachusetts,31915,31915,31985,32199,32863
Woburn city,Massachusetts,38120,38126,38280,38598,38949
Balance of Middlesex County,Massachusetts,777065,777051,779583,789785,798468
Acton town,Massachusetts,21924,21924,21985,22261,22599
Arlington town,Massachusetts,42844,42844,42927,43293,43711
Ashby town,Massachusetts,3074,3074,3081,3106,3140
Ashland town,Massachusetts,16593,16593,16632,16801,16993
Ayer town,Massachusetts,7427,7427,7460,7585,7688
Bedford town,Massachusetts,13320,13320,13345,13531,13765
Belmont town,Massachusetts,24729,24729,24768,24941,25204
Billerica town,Massachusetts,40243,40243,40407,41045,41454
Boxborough town,Massachusetts,4996,4996,5010,5058,5105
Burlington town,Massachusetts,24498,24498,24576,24920,25165
Cambridge city,Massachusetts,105162,105162,104944,105792,106471
Cambridge city,Massachusetts,105162,105162,104944,105792,106471
Carlisle town,Massachusetts,4852,4852,4869,4918,4978
Chelmsford town,Massachusetts,33802,33802,33890,34220,34545
Concord town,Massachusetts,17668,17668,17751,18758,18957
Dracut town,Massachusetts,29457,29457,29544,29894,30220
Dunstable town,Massachusetts,3179,3179,3192,3250,3303
Everett city,Massachusetts,41667,41667,41738,42118,42567
Everett city,Massachusetts,41667,41667,41738,42118,42567
Framingham town,Massachusetts,68318,68318,68622,69542,70068
Groton town,Massachusetts,10646,10646,10678,10900,11017
Holliston town,Massachusetts,13547,13547,13586,13839,14014
Hopkinton town,Massachusetts,14925,14925,14986,15245,15478
Hudson town,Massachusetts,19063,19063,19113,19292,19481
Lexington town,Massachusetts,31394,31394,31477,31884,32272
Lincoln town,Massachusetts,6362,6362,6379,6437,6503
Littleton town,Massachusetts,8924,8924,8948,9036,9132
Lowell city,Massachusetts,106519,106519,106709,107571,108522
